"(2019.2265505315465, 2132.8054558363347, 0.39981841603645113)"
"(2589.630099977763, 1659.7340523296705, 0.40047646985997004)"
"(2787.572087540554, 6713.183770243222, 0.3612881488852736)"
"(2758.534507224379, 4280.314664199792, 0.3678285690163041)"
"(2923.21493845157, 2176.6107658230026, 0.38554771314396047)"
"(2290.199314659105, 2090.5000749901315, 0.38936938625706424)"
"(3064.9903092358495, 2588.3456145151567, 0.3747834003823213)"
"(1564.7127169454018, 2152.2024435839826, 0.39570953241940193)"
"(1897.3479500317756, 1686.053227233835, 0.39017516587289214)"
"(995.810226300418, 1237.6507176536509, 0.4327807064855221)"
"(1141.7523913050943, 1494.9881380096122, 0.4254252940275805)"
"(861.3329705116051, 1153.4492649550962, 0.4482314242959434)"
"(918.66680390103, 1366.3326606699543, 0.43360307372724877)"
"(970.5189228201389, 1035.4906659881412, 0.4475921636343627)"
"(755.7980637397452, 680.8912786246652, 0.49076408245849673)"
"(277.2539144496435, 647.3302218581792, 0.6342381747637484)"
"(268.44447785702874, 689.2231891830826, 0.6435353773621895)"
"(949.3061935271237, 857.6999267265057, 0.45892605596071234)"
"(586.6216003121605, 785.5937233076648, 0.503296408426839)"
"(372.51991837094914, 875.6287459579146, 0.5616344440845655)"
"(754.6293663024926, 1036.868338130514, 0.4589336219980539)"
"(673.6956778875982, 847.0715269522101, 0.48142122207322835)"
"(327.27887955304135, 739.5179010792908, 0.5911772316625231)"
"(414.49573093014646, 763.2269941919885, 0.5482620011751637)"
"(685.3917986484702, 710.6247230734602, 0.32163778624063766)"
"(1354.5186717864121, 1228.287764972439, 0.3378006268648813)"
"(1026.746227406687, 1298.9566494995197, 0.4372821368816459)"
"(1496.1983138990852, 2965.455780004365, 0.391093786266184)"
"(1035.4074530501932, 1271.5228211213155, 0.4401896255770071)"
"(1700.9176076410843, 10037.369258071201, 0.3715601180190108)"
"(1718.236220940529, 1482.449553917873, 0.4078707945569624)"
"(1653.8320129676524, 1396.3145144584348, 0.4110158974747858)"
"(1715.4206410557488, 1836.371929864833, 0.3953881681523047)"
"(949.3334538808314, 1112.625140587216, 0.44962512874547284)"
"(1041.9000190768572, 1211.595323560953, 0.4364946899702848)"
"(1518.693636905612, 1500.5866378942371, 0.41089475502960493)"
"(999.0228150502749, 1195.7860122284487, 0.4392660357664716)"
"(1070.3916047619573, 1325.6723729942378, 0.4320299028765212)"
"(1125.7504299843008, 1207.9422019967662, 0.4330185392107542)"
"(1186.8929327336648, 1072.2422730355368, 0.4341123151816042)"
"(1353.9026097155472, 1229.8047998116706, 0.4230274575949634)"
"(1537.937076578799, 1616.6389113046719, 0.4069515052653475)"
"(1616.169851341099, 1880.5120456110276, 0.396480982487193)"
"(1424.260219433587, 1728.3713560697959, 0.40662465828009015)"
"(1176.7130906772527, 1115.3114156265028, 0.4376706327931763)"
"(930.5339347236563, 1041.3651510008608, 0.44971245225603507)"
"(961.251820148936, 1242.2611860667193, 0.43737329763659255)"
"(996.0240163457397, 1127.5761563718695, 0.44256608445748674)"
"(906.871597101877, 1142.6841645582583, 0.45025446346987136)"
"(995.7852881793815, 1196.2729006805357, 0.443030686408207)"
"(1274.6676532747565, 1102.268439116981, 0.4348758299221528)"
"(1246.496954320986, 914.3656234935794, 0.44705128758668594)"
"(992.2685445455155, 1003.5692287532761, 0.4593451057624122)"
"(786.7995150156781, 805.770127722972, 0.4846576628101576)"
"(756.4917384715867, 809.2284835150508, 0.48430457037909314)"
"(1390.4732965418386, 1275.1675352574593, 0.4243364529963303)"
"(1320.8798295335196, 1179.3735950429684, 0.42888014579540823)"
"(930.0843722940424, 1166.370327306164, 0.44353571262061137)"
"(975.5993969138411, 1074.9086128659217, 0.4483328900139042)"
"(921.79300983057, 1090.7100875463987, 0.4502921552301591)"
"(1261.0585255085946, 972.7616879794939, 0.4383736664672602)"
"(1102.992228888061, 1017.1118582194639, 0.44566328215987283)"
"(1709.4634373355352, 1172.4580441924934, 0.4206555529103621)"
"(990.3005716017068, 1234.9860767222626, 0.44281969635225843)"
"(775.2320857315402, 2319.685838495689, 0.43626051752468625)"
"(1035.6105745634218, 1868.8166563768075, 0.41991557250702216)"
"(3517.791771525892, 1307.9634057629305, 0.38972534239362505)"
"(987.1332852822654, 1091.2245847169254, 0.44180836582747246)"
"(973.449451483814, 1048.8354815292766, 0.4435932070730675)"
"(1030.6329615050722, 1027.6274434671905, 0.4467823537138028)"
"(1253.1434380443136, 1198.6755151250304, 0.42834563464746883)"
"(1730.2442514883326, 1607.6991799204616, 0.4038561017271067)"
"(1223.8812779903947, 1377.9446903936716, 0.43148778860338954)"
"(864.7352486132094, 655.6329911601453, 0.5002685885052041)"
"(758.5449712884705, 587.4878629406427, 0.2990277634116296)"
"(805.8583186081767, 387.0791271547284, 0.2424038675675574)"
"(489.7661839069058, 1206.9311304233931, 0.5005874650647874)"
"(714.2948390670467, 637.5998217772517, 0.5123074037208345)"
"(3139.6018740788777, 51530.83397804373, 0.33817930246976996)"
"(4280.673653949617, 1145.6868625290558, 0.3876375303500084)"
"(265.5417259746662, 463.1653112617723, 0.6941514189040214)"
"(479.5886001792499, 307.5429455567062, 0.6461524031197654)"
"(1045.7965097114957, 459.78906059647704, 0.510521590152532)"
"(9415.03325122524, 3292.460484403452, 0.2953106882198736)"
"(2808.4999515338245, 97814.78418306656, 0.33884630872841814)"
"(1149.7256084210408, 998.3731926233361, 0.4435486061789188)"
"(1404.9301444027735, 895.7683456971249, 0.4531825445677756)"
"(3402.9605676284386, 548.3026590025241, 0.4617453414468084)"
